ID,착과량(int)
TEST_0000,244.77271757311783
TEST_0001,749.9126170394692
TEST_0002,153.90083997419248
TEST_0003,445.9924847815609
TEST_0004,677.1126421478259
TEST_0005,276.1837104051539
TEST_0006,76.15059884353505
TEST_0007,32.119575823424995
TEST_0008,357.0417836194296
TEST_0009,233.8583047390468
TEST_0010,555.1210810334954
TEST_0011,756.3434094310506
TEST_0012,453.3211925892314
TEST_0013,390.24341868965047
TEST_0014,58.058138696863395
TEST_0015,135.81309924062037
TEST_0016,472.8522315505165
TEST_0017,417.53260987794215
TEST_0018,247.9934417961478
TEST_0019,564.1488065588654
TEST_0020,248.8283754507711
TEST_0021,350.01046559401493
TEST_0022,443.4163149564399
TEST_0023,248.49294132062732
TEST_0024,154.17761106846535
TEST_0025,654.0405418925011
TEST_0026,157.7597902710884
TEST_0027,756.0608796048053
TEST_0028,626.2849274591892
TEST_0029,442.8279536069414
TEST_0030,34.68816651229858
TEST_0031,585.8604796980457
TEST_0032,659.2509491379246
TEST_0033,557.328180881034
TEST_0034,566.1464135367705
TEST_0035,354.6545961861424
TEST_0036,248.66287272544525
TEST_0037,640.390853174809
TEST_0038,21.294070590208527
TEST_0039,443.42396683438693
TEST_0040,386.6013266739354
TEST_0041,144.87680685658347
TEST_0042,742.9236455284506
TEST_0043,78.51961047607062
TEST_0044,593.735722502525
TEST_0045,338.787786302443
TEST_0046,753.9484117621662
TEST_0047,479.96172928793794
TEST_0048,350.32278976601924
TEST_0049,449.8026995579347
TEST_0050,546.7433748225737
TEST_0051,647.14476252482
TEST_0052,405.7136510347908
TEST_0053,452.90444554697706
TEST_0054,368.6953482580492
TEST_0055,160.76351972706217
TEST_0056,748.6718996612317
TEST_0057,533.8215710360172
TEST_0058,563.0468357916479
TEST_0059,549.5982699847536
TEST_0060,447.5527367548069
TEST_0061,56.74107178733152
TEST_0062,546.8005078974692
TEST_0063,341.712779038088
TEST_0064,529.6382092239854
TEST_0065,352.7387578223992
TEST_0066,445.5273244993611
TEST_0067,445.7078889302759
TEST_0068,145.18146018994224
TEST_0069,668.5310598991439
TEST_0070,748.8026381877382
TEST_0071,747.9577896404187
TEST_0072,643.5191459923099
TEST_0073,252.68467548481743
TEST_0074,146.2132679529915
TEST_0075,247.1815808003114
TEST_0076,150.716568477904
TEST_0077,643.587759048624
TEST_0078,751.471378983373
TEST_0079,338.93342497515727
TEST_0080,257.82672121635204
TEST_0081,48.50345719393448
TEST_0082,55.93577836332947
TEST_0083,654.9410428588694
TEST_0084,627.119447885935
TEST_0085,482.20120007247107
TEST_0086,251.31789676883014
TEST_0087,358.09532002390347
TEST_0088,56.9586588972202
TEST_0089,144.81786730681387
TEST_0090,53.6510042948881
TEST_0091,381.8121397799631
TEST_0092,532.8356355555777
TEST_0093,540.7447697680061
TEST_0094,540.6217161312892
TEST_0095,346.5282467328768
TEST_0096,249.29121756959643
TEST_0097,249.6599437680258
TEST_0098,229.4452993010327
TEST_0099,639.4483881067256
TEST_0100,714.3934175286731
TEST_0101,244.45874479512383
TEST_0102,451.6283919845035
TEST_0103,562.6197698544595
TEST_0104,233.6971765705004
TEST_0105,752.0446704149161
TEST_0106,144.96027738434577
TEST_0107,58.04326437349831
TEST_0108,448.4371152775773
TEST_0109,231.1775046581424
TEST_0110,649.9918633398372
TEST_0111,320.2147542216484
TEST_0112,586.0971457821399
TEST_0113,444.76338403377054
TEST_0114,707.8353878474819
TEST_0115,162.00101058606546
TEST_0116,658.0058462805841
